Country,Region,Happiness.Score,Log.GDP,Social.support,Life.Expectancy,Freedom.Choices,Generosity,Perceptions.Corruption
Poland,Europe,6.1862998008728,10.2651243209839,0.874257445335388,69.3111343383789,0.862055778503418,-0.205084070563316,0.686927020549774
Colombia,Americas,6.16340017318726,9.50036907196045,0.884440243244171,67.6995849609375,0.836179912090302,-0.161235645413399,0.864571809768677
Cyprus,Europe,6.15899991989136,10.4057025909424,0.805996239185333,73.7022247314453,0.779858291149139,0.0437314957380295,0.856271743774414
Nicaragua,Americas,6.13710021972656,8.49316024780273,0.857497036457062,67.5071792602539,0.863902866840363,0.0209591407328844,0.665950119495392
Romania,Europe,6.12370014190674,10.1075839996338,0.825161516666412,67.2072372436523,0.842823207378387,-0.197815209627151,0.934300243854523
Kuwait,Middle East and Africa,6.10209989547729,11.0898246765137,0.84647524356842,66.7676467895508,0.872366487979889,-0.100184701383114,0.760849058628082
Mauritius,Middle East and Africa,6.10129976272583,9.95678615570068,0.91035783290863,66.4043426513672,0.889534533023834,-0.018318573012948,0.805343091487885
Kazakhstan,Commonwealth of Independent States,6.05789995193481,10.1146583557129,0.934744894504547,64.6099624633789,0.811601936817169,-0.068488635122776,0.764490842819214
Estonia,Europe,6.02180004119873,10.3400173187256,0.934729993343353,68.6049575805664,0.877709150314331,-0.111697770655155,0.623073816299438
Philippines,Southern and Eastern Asia,6.00600004196167,8.99354553222656,0.846730053424835,61.9267616271973,0.915463447570801,-0.10546300560236,0.733634114265442
Hungary,Europe,6.00040006637573,10.2492437362671,0.921934127807617,67.6099700927734,0.718964576721191,-0.194323018193245,0.89291650056839
Thailand,Southern and Eastern Asia,5.9987998008728,9.74179172515869,0.889973223209381,67.2505950927734,0.905063033103943,0.268685191869736,0.886272311210632
Argentina,Americas,5.97469997406006,9.81095504760742,0.900567948818207,68.8038024902344,0.831132411956787,-0.194913864135742,0.842009842395782
Honduras,Americas,5.95319986343384,8.42453479766846,0.821870148181915,67.1987686157227,0.870603263378143,0.0869691148400307,0.801131904125214
Latvia,Europe,5.94999980926514,10.1753196716309,0.918288588523865,66.8074645996094,0.671237647533417,-0.186888843774796,0.795580089092255
Ecuador,Americas,5.92519998550415,9.24605846405029,0.836418986320496,68.5000381469727,0.859828948974609,-0.127014964818954,0.80121511220932
Portugal,Europe,5.9109001159668,10.2637424468994,0.886590719223022,72.4020233154297,0.888747811317444,-0.220714300870895,0.892629504203796
Jamaica,Americas,5.88980007171631,9.00625038146973,0.915701866149902,67.0999984741211,0.858068525791168,-0.125106766819954,0.888890027999878
South Korea,Southern and Eastern Asia,5.87239980697632,10.5105667114258,0.799387156963348,73.6027297973633,0.612965106964111,-0.0434040315449238,0.789067447185516
Japan,Southern and Eastern Asia,5.87080001831055,10.5796890258789,0.883545935153961,75.0009689331055,0.809961378574371,-0.246910348534584,0.654558062553406
Peru,Americas,5.79680013656616,9.45631313323975,0.831075251102448,68.1002349853516,0.824766099452972,-0.16238822042942,0.893714964389801
Serbia,Europe,5.77820014953613,9.68098068237305,0.881475746631622,68.210205078125,0.726495862007141,-0.0736762210726738,0.843509018421173
Bolivia,Americas,5.74749994277954,8.85111522674561,0.803108692169189,63.600471496582,0.875873327255249,-0.0916811302304268,0.822606205940247
Pakistan,Southern and Eastern Asia,5.69329977035522,8.48272705078125,0.689062297344208,58.2531356811523,0.734833717346191,0.044899869710207,0.745705425739288
Paraguay,Americas,5.69210004806519,9.38998222351074,0.898727893829346,65.6399383544922,0.885923445224762,0.00799771305173635,0.834788501262665
Dominican Republic,Americas,5.68919992446899,9.66488075256348,0.882085382938385,65.807487487793,0.866202771663666,-0.13126328587532,0.75599992275238
Bosnia and Herzegovina,Europe,5.67409992218018,9.45581722259521,0.829204142093658,67.8081359863281,0.65135270357132,0.0982745587825775,0.933769106864929
Moldova,Commonwealth of Independent States,5.60750007629395,8.77671432495117,0.843313574790955,65.0130157470703,0.721609175205231,-0.0377410389482975,0.913314282894135
Tajikistan,Commonwealth of Independent States,5.55569982528687,8.02481079101562,0.835297107696533,64.1045913696289,0.831383407115936,-0.0250885114073753,0.592076063156128
